"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.37    ,  0.14  
MgO     , 11.49    ,  0.25  
Al2O3   ,  8.29    ,  0.19  
SiO2    , 43.44    ,  0.54  
P2O5    ,  0.70    ,  0.05  
SO3     ,  2.57    ,  0.08  
Cl      ,  0.41    ,  0.02  
K2O     ,  0.33    ,  0.01  
CaO     ,  6.84    ,  0.07  
TiO2    ,  0.90    ,  0.03  
Cr2O3   ,  0.51    ,  0.03  
MnO     ,  0.43    ,  0.01  
FeO     , 21.58    ,  0.26  
Ni      ,  0.0768  ,  0.0040
Zn      ,  0.0154  ,  0.0010
Br      ,  0.0031  ,  0.0010
