"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.20    ,  0.14  
MgO     ,  6.03    ,  0.17  
Al2O3   ,  7.52    ,  0.19  
SiO2    , 40.99    ,  0.43  
P2O5    ,  1.21    ,  0.07  
SO3     , 12.36    ,  0.15  
Cl      ,  1.12    ,  0.03  
K2O     ,  0.74    ,  0.02  
CaO     ,  5.86    ,  0.07  
TiO2    ,  1.01    ,  0.03  
Cr2O3   ,  0.26    ,  0.01  
MnO     ,  0.24    ,  0.01  
FeO     , 20.12    ,  0.26  
Ni      ,  0.0989  ,  0.0050
Zn      ,  0.1441  ,  0.0045
Br      ,  0.0343  ,  0.0015
