"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.33    ,  0.14  
MgO     ,  6.93    ,  0.17  
Al2O3   ,  8.69    ,  0.19  
SiO2    , 46.59    ,  0.54  
P2O5    ,  1.03    ,  0.07  
SO3     ,  4.83    ,  0.10  
Cl      ,  1.15    ,  0.03  
K2O     ,  0.78    ,  0.02  
CaO     ,  3.61    ,  0.06  
TiO2    ,  1.07    ,  0.03  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.30    ,  0.03  
FeO     , 21.98    ,  0.26  
Ni      ,  0.0822  ,  0.0045
Zn      ,  0.1712  ,  0.0055
Br      ,  0.0277  ,  0.0010
