"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.69    ,  0.14  
MgO     ,  7.99    ,  0.17  
Al2O3   ,  8.20    ,  0.19  
SiO2    , 39.71    ,  0.43  
P2O5    ,  0.95    ,  0.07  
SO3     , 14.05    ,  0.22  
Cl      ,  0.84    ,  0.04  
K2O     ,  0.53    ,  0.02  
CaO     ,  5.92    ,  0.08  
TiO2    ,  0.87    ,  0.03  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.23    ,  0.03  
FeO     , 17.52    ,  0.20  
Ni      ,  0.0536  ,  0.0040
Zn      ,  0.0358  ,  0.0020
Br      ,  0.0161  ,  0.0010
