"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.99    ,  0.20  
MgO     ,  3.89    ,  0.17  
Al2O3   ,  7.08    ,  0.19  
SiO2    , 40.11    ,  0.64  
P2O5    ,  1.47    ,  0.09  
SO3     , 15.70    ,  0.30  
Cl      ,  0.76    ,  0.05  
K2O     ,  0.62    ,  0.04  
CaO     ,  9.18    ,  0.13  
TiO2    ,  0.89    ,  0.07  
Cr2O3   ,  0.23    ,  0.03  
MnO     ,  0.21    ,  0.03  
FeO     , 17.47    ,  0.20  
Ni      ,  0.0768  ,  0.0060
Zn      ,  0.2022  ,  0.0065
Br      ,  0.0134  ,  0.0020
