"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.75    ,  0.14  
MgO     ,  5.40    ,  0.17  
Al2O3   , 12.15    ,  0.29  
SiO2    , 52.85    ,  0.54  
P2O5    ,  1.33    ,  0.07  
SO3     ,  4.33    ,  0.05  
Cl      ,  0.92    ,  0.02  
K2O     ,  0.76    ,  0.02  
CaO     ,  4.09    ,  0.04  
TiO2    ,  1.06    ,  0.03  
Cr2O3   ,  0.38    ,  0.01  
MnO     ,  0.30    ,  0.01  
FeO     , 13.28    ,  0.20  
Ni      ,  0.0786  ,  0.0040
Zn      ,  0.1545  ,  0.0050
Br      ,  0.0494  ,  0.0015
