"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.59    ,  0.14  
MgO     ,  5.94    ,  0.17  
Al2O3   ,  8.79    ,  0.19  
SiO2    , 47.00    ,  0.54  
P2O5    ,  0.85    ,  0.07  
SO3     ,  5.25    ,  0.15  
Cl      ,  2.10    ,  0.07  
K2O     ,  0.79    ,  0.04  
CaO     ,  3.73    ,  0.08  
TiO2    ,  1.14    ,  0.05  
Cr2O3   ,  0.32    ,  0.03  
MnO     ,  0.12    ,  0.03  
FeO     , 20.98    ,  0.26  
Ni      ,  0.1034  ,  0.0060
Zn      ,  0.1320  ,  0.0050
Br      ,  0.0447  ,  0.0020
