"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.23    ,  0.14  
MgO     ,  8.23    ,  0.17  
Al2O3   , 12.41    ,  0.29  
SiO2    , 42.14    ,  0.43  
P2O5    ,  0.80    ,  0.05  
SO3     ,  3.42    ,  0.05  
Cl      ,  1.21    ,  0.02  
K2O     ,  0.51    ,  0.02  
CaO     ,  6.79    ,  0.07  
TiO2    ,  0.92    ,  0.03  
Cr2O3   ,  0.38    ,  0.01  
MnO     ,  0.28    ,  0.01  
FeO     , 19.50    ,  0.26  
Ni      ,  0.0466  ,  0.0025
Zn      ,  0.0314  ,  0.0010
Br      ,  0.0371  ,  0.0015
