"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.38    ,  0.14  
MgO     ,  5.54    ,  0.17  
Al2O3   ,  8.75    ,  0.19  
SiO2    , 46.04    ,  0.54  
P2O5    ,  0.94    ,  0.07  
SO3     ,  7.89    ,  0.10  
Cl      ,  0.84    ,  0.02  
K2O     ,  1.02    ,  0.04  
CaO     ,  4.71    ,  0.06  
TiO2    ,  1.05    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.41    ,  0.01  
FeO     , 19.87    ,  0.26  
Ni      ,  0.0825  ,  0.0045
Zn      ,  0.0960  ,  0.0030
Br      ,  0.0117  ,  0.0005
