"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.31    ,  0.27  
MgO     ,  5.09    ,  0.25  
Al2O3   ,  8.89    ,  0.38  
SiO2    , 47.28    ,  0.64  
P2O5    ,  0.81    ,  0.07  
SO3     ,  8.94    ,  0.22  
Cl      ,  1.27    ,  0.06  
K2O     ,  0.95    ,  0.04  
CaO     ,  5.08    ,  0.10  
TiO2    ,  1.05    ,  0.09  
Cr2O3   ,  0.33    ,  0.05  
MnO     ,  0.11    ,  0.03  
FeO     , 17.53    ,  0.20  
Ni      ,  0.0783  ,  0.0060
Zn      ,  0.1287  ,  0.0050
Br      ,  0.0019  ,  0.0010
