"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.07    ,  0.48  
MgO     ,  5.15    ,  0.67  
Al2O3   ,  5.60    ,  0.96  
SiO2    , 57.99    ,  1.39  
P2O5    ,  0.90    ,  0.33  
SO3     , 11.32    ,  0.57  
Cl      ,  1.71    ,  0.09  
K2O     ,  0.46    ,  0.04  
CaO     ,  6.97    ,  0.35  
TiO2    ,  1.02    ,  0.07  
Cr2O3   ,  0.42    ,  0.03  
MnO     ,  0.05    ,  0.04  
FeO     ,  5.83    ,  0.13  
Ni      ,  0.0091  ,  0.0030
Zn      ,  0.0085  ,  0.0015
Br      ,  0.0411  ,  0.0025
