"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.67    ,  0.14  
MgO     ,  3.90    ,  0.08  
Al2O3   ,  5.78    ,  0.19  
SiO2    , 54.86    ,  0.64  
P2O5    ,  1.06    ,  0.07  
SO3     , 11.20    ,  0.12  
Cl      ,  2.15    ,  0.03  
K2O     ,  0.43    ,  0.02  
CaO     ,  6.57    ,  0.07  
TiO2    ,  0.91    ,  0.03  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.10    ,  0.01  
FeO     ,  9.82    ,  0.13  
Ni      ,  0.0171  ,  0.0010
Zn      ,  0.0097  ,  0.0005
Br      ,  0.0214  ,  0.0010
