"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.51    ,  0.14  
MgO     ,  5.39    ,  0.17  
Al2O3   ,  9.27    ,  0.29  
SiO2    , 49.29    ,  0.54  
P2O5    ,  1.04    ,  0.07  
SO3     ,  2.99    ,  0.10  
Cl      ,  0.91    ,  0.03  
K2O     ,  0.93    ,  0.04  
CaO     ,  6.10    ,  0.07  
TiO2    ,  1.07    ,  0.05  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.26    ,  0.03  
FeO     , 18.68    ,  0.20  
Ni      ,  0.0716  ,  0.0040
Zn      ,  0.1191  ,  0.0040
Br      ,  0.0070  ,  0.0010
