"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.22    ,  0.14  
MgO     ,  6.19    ,  0.17  
Al2O3   ,  8.24    ,  0.19  
SiO2    , 47.03    ,  0.54  
P2O5    ,  0.82    ,  0.05  
SO3     ,  5.02    ,  0.10  
Cl      ,  1.71    ,  0.04  
K2O     ,  1.15    ,  0.04  
CaO     ,  3.70    ,  0.06  
TiO2    ,  1.17    ,  0.05  
Cr2O3   ,  0.34    ,  0.03  
MnO     ,  0.15    ,  0.03  
FeO     , 21.79    ,  0.26  
Ni      ,  0.1023  ,  0.0055
Zn      ,  0.1391  ,  0.0045
Br      ,  0.1064  ,  0.0035
