"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.36    ,  0.14  
MgO     , 10.62    ,  0.25  
Al2O3   ,  8.54    ,  0.19  
SiO2    , 43.81    ,  0.54  
P2O5    ,  0.73    ,  0.05  
SO3     ,  2.76    ,  0.05  
Cl      ,  0.45    ,  0.01  
K2O     ,  0.38    ,  0.01  
CaO     ,  7.11    ,  0.08  
TiO2    ,  0.94    ,  0.03  
Cr2O3   ,  0.52    ,  0.01  
MnO     ,  0.44    ,  0.01  
FeO     , 21.18    ,  0.26  
Ni      ,  0.0740  ,  0.0040
Zn      ,  0.0182  ,  0.0010
Br      ,  0.0041  ,  0.0005
