"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.36    ,  0.14  
MgO     ,  6.14    ,  0.17  
Al2O3   ,  8.37    ,  0.19  
SiO2    , 42.25    ,  0.43  
P2O5    ,  0.86    ,  0.05  
SO3     ,  9.37    ,  0.12  
Cl      ,  1.34    ,  0.03  
K2O     ,  0.58    ,  0.02  
CaO     ,  6.61    ,  0.07  
TiO2    ,  0.98    ,  0.03  
Cr2O3   ,  0.40    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 20.19    ,  0.26  
Ni      ,  0.0782  ,  0.0040
Zn      ,  0.0570  ,  0.0020
Br      ,  0.0084  ,  0.0010
