"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.96    ,  0.14  
MgO     ,  4.32    ,  0.17  
Al2O3   ,  7.71    ,  0.19  
SiO2    , 62.99    ,  0.64  
P2O5    ,  2.39    ,  0.14  
SO3     ,  5.47    ,  0.08  
Cl      ,  0.80    ,  0.02  
K2O     ,  0.97    ,  0.04  
CaO     ,  3.78    ,  0.04  
TiO2    ,  1.55    ,  0.05  
Cr2O3   ,  0.08    ,  0.01  
MnO     ,  0.07    ,  0.01  
FeO     ,  6.62    ,  0.13  
Ni      ,  0.0115  ,  0.0010
Zn      ,  0.0119  ,  0.0005
Br      ,  0.0764  ,  0.0025
