"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.33    ,  0.14  
MgO     ,  5.17    ,  0.17  
Al2O3   ,  8.83    ,  0.19  
SiO2    , 46.89    ,  0.54  
P2O5    ,  1.03    ,  0.07  
SO3     ,  8.39    ,  0.15  
Cl      ,  1.29    ,  0.04  
K2O     ,  0.93    ,  0.04  
CaO     ,  5.26    ,  0.06  
TiO2    ,  0.97    ,  0.03  
Cr2O3   ,  0.29    ,  0.03  
MnO     ,  0.19    ,  0.01  
FeO     , 18.02    ,  0.20  
Ni      ,  0.1052  ,  0.0055
Zn      ,  0.1910  ,  0.0060
Br      ,  0.0210  ,  0.0010
