"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.64    ,  0.14  
MgO     ,  4.50    ,  0.17  
Al2O3   ,  9.75    ,  0.29  
SiO2    , 49.43    ,  0.54  
P2O5    ,  1.03    ,  0.07  
SO3     ,  4.73    ,  0.05  
Cl      ,  0.35    ,  0.01  
K2O     ,  0.92    ,  0.04  
CaO     ,  4.08    ,  0.04  
TiO2    ,  1.17    ,  0.05  
Cr2O3   ,  0.38    ,  0.01  
MnO     ,  0.35    ,  0.01  
FeO     , 20.21    ,  0.26  
Ni      ,  0.1126  ,  0.0060
Zn      ,  0.2419  ,  0.0075
Br      ,  0.0038  ,  0.0005
