"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.01    ,  0.20  
MgO     ,  4.91    ,  0.25  
Al2O3   ,  6.09    ,  0.19  
SiO2    , 29.78    ,  0.54  
P2O5    ,  0.86    ,  0.09  
SO3     , 25.32    ,  0.47  
Cl      ,  0.84    ,  0.06  
K2O     ,  0.58    ,  0.04  
CaO     , 17.11    ,  0.22  
TiO2    ,  0.70    ,  0.09  
Cr2O3   ,  0.20    ,  0.05  
MnO     ,  0.12    ,  0.03  
FeO     , 11.31    ,  0.20  
Ni      ,  0.0510  ,  0.0060
Zn      ,  0.0555  ,  0.0040
Br      ,  0.0111  ,  0.0015
