"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.10    ,  0.07  
MgO     ,  1.53    ,  0.83  
Al2O3   ,  6.06    ,  0.19  
SiO2    , 68.07    ,  0.75  
P2O5    ,  1.17    ,  0.07  
SO3     ,  4.60    ,  0.08  
Cl      ,  0.35    ,  0.01  
K2O     ,  0.86    ,  0.04  
CaO     ,  3.35    ,  0.04  
TiO2    ,  1.43    ,  0.05  
Cr2O3   ,  0.20    ,  0.01  
MnO     ,  0.14    ,  0.01  
FeO     ,  9.87    ,  0.13  
Ni      ,  0.0250  ,  0.0015
Zn      ,  0.0351  ,  0.0015
Br      ,  0.0102  ,  0.0005
