"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.55    ,  0.14  
MgO     ,  5.65    ,  0.17  
Al2O3   ,  9.53    ,  0.29  
SiO2    , 48.42    ,  0.54  
P2O5    ,  0.72    ,  0.05  
SO3     ,  9.17    ,  0.10  
Cl      ,  0.87    ,  0.02  
K2O     ,  1.04    ,  0.04  
CaO     ,  5.92    ,  0.07  
TiO2    ,  0.94    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 14.41    ,  0.20  
Ni      ,  0.0894  ,  0.0045
Zn      ,  0.0924  ,  0.0030
Br      ,  0.0113  ,  0.0005
