"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.54    ,  0.27  
MgO     ,  5.81    ,  0.33  
Al2O3   ,  9.00    ,  0.38  
SiO2    , 47.86    ,  0.75  
P2O5    ,  0.94    ,  0.09  
SO3     ,  4.64    ,  0.17  
Cl      ,  1.33    ,  0.06  
K2O     ,  0.92    ,  0.04  
CaO     ,  3.28    ,  0.08  
TiO2    ,  0.97    ,  0.05  
Cr2O3   ,  0.29    ,  0.05  
MnO     ,  0.22    ,  0.04  
FeO     , 21.75    ,  0.26  
Ni      ,  0.1416  ,  0.0080
Zn      ,  0.1766  ,  0.0060
Br      ,  0.0378  ,  0.0025
