"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.70    ,  0.20  
MgO     ,  6.32    ,  0.25  
Al2O3   ,  9.08    ,  0.38  
SiO2    , 46.04    ,  0.75  
P2O5    ,  0.85    ,  0.09  
SO3     ,  8.19    ,  0.30  
Cl      ,  1.67    ,  0.09  
K2O     ,  0.91    ,  0.06  
CaO     ,  4.49    ,  0.13  
TiO2    ,  0.92    ,  0.10  
Cr2O3   ,  0.28    ,  0.05  
MnO     ,  0.25    ,  0.04  
FeO     , 17.69    ,  0.20  
Ni      ,  0.1047  ,  0.0100
Zn      ,  0.1827  ,  0.0085
Br      ,  0.0200  ,  0.0020
