"Target: Tursac, Contains DAT files: APB_670558295ESC30760871078_______M1.DAT"
 7479.7  ,      25
 7504.1  ,      13
 7528.5  ,      17
 7552.8  ,      12
 7577.2  ,      12
 7601.6  ,       5
 7626.0  ,       8
 7650.3  ,       5
 7674.7  ,       2
 7699.1  ,       3
 7723.5  ,       8
 7747.9  ,       3
 7772.2  ,       6
 7796.6  ,       4
 7821.0  ,       2
 7845.4  ,       6
 7869.8  ,       3
 7894.1  ,       8
 7918.5  ,       9
 7942.9  ,       7
 7967.3  ,       6
 7991.6  ,       7
 8016.0  ,       6
 8040.4  ,       6
 8064.8  ,      10
 8089.2  ,       8
 8113.5  ,       6
 8137.9  ,       4
 8162.3  ,       5
 8186.7  ,      12
 8211.1  ,       9
 8235.4  ,      11
 8259.8  ,       5
 8284.2  ,       8
 8308.6  ,       3
 8332.9  ,       8
 8357.3  ,      10
 8381.7  ,       7
 8406.1  ,       7
 8430.5  ,       7
 8454.8  ,      11
 8479.2  ,      13
 8503.6  ,      26
 8528.0  ,      41
 8552.3  ,      51
 8576.7  ,      63
 8601.1  ,      70
 8625.5  ,      74
 8649.9  ,      48
 8674.2  ,      46
 8698.6  ,      34
 8723.0  ,      36
 8747.4  ,      20
 8771.8  ,      18
 8796.1  ,      15
 8820.5  ,       4
 8844.9  ,       5
 8869.3  ,       5
 8893.6  ,       8
 8918.0  ,       7
 8942.4  ,       6
 8966.8  ,       4
 8991.2  ,       7
 9015.5  ,       1
 9039.9  ,       9
 9064.3  ,       7
 9088.7  ,       4
 9113.1  ,       3
 9137.4  ,       1
 9161.8  ,       3
 9186.2  ,       9
 9210.6  ,       9
 9234.9  ,       1
 9259.3  ,       3
 9283.7  ,       6
 9308.1  ,       4
 9332.5  ,       6
 9356.8  ,       4
 9381.2  ,      10
 9405.6  ,       6
 9430.0  ,       7
 9454.4  ,      17
 9478.7  ,       8
 9503.1  ,      11
 9527.5  ,      13
 9551.9  ,      10
 9576.2  ,      11
 9600.6  ,      15
 9625.0  ,       9
 9649.4  ,       4
 9673.8  ,      10
 9698.1  ,       7
 9722.5  ,      10
 9746.9  ,       6
 9771.3  ,       6
 9795.6  ,       9
 9820.0  ,      10
 9844.4  ,      10
 9868.8  ,      14
 9893.2  ,      13
 9917.5  ,      10
 9941.9  ,       4
 9966.3  ,       8
 9990.7  ,       5
10015.1  ,       3
10039.4  ,       6
10063.8  ,       2
10088.2  ,       6
10112.6  ,       4
10136.9  ,       4
10161.3  ,       5
10185.7  ,       5
10210.1  ,       3
10234.5  ,       4
10258.8  ,       2
10283.2  ,       5
10307.6  ,       1
10332.0  ,       2
10356.4  ,       6
10380.7  ,       3
10405.1  ,       4
