"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.31    ,  0.14  
MgO     ,  7.44    ,  0.17  
Al2O3   ,  7.90    ,  0.19  
SiO2    , 42.69    ,  0.43  
P2O5    ,  1.08    ,  0.07  
SO3     ,  6.19    ,  0.08  
Cl      ,  2.27    ,  0.03  
K2O     ,  0.67    ,  0.02  
CaO     ,  3.81    ,  0.04  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.47    ,  0.01  
FeO     , 23.41    ,  0.26  
Ni      ,  0.0495  ,  0.0025
Zn      ,  0.2035  ,  0.0065
Br      ,  0.1225  ,  0.0040
