"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.63    ,  0.14  
MgO     ,  4.18    ,  0.17  
Al2O3   ,  8.47    ,  0.19  
SiO2    , 46.66    ,  0.54  
P2O5    ,  1.13    ,  0.07  
SO3     ,  7.98    ,  0.10  
Cl      ,  1.33    ,  0.02  
K2O     ,  0.80    ,  0.02  
CaO     ,  6.17    ,  0.07  
TiO2    ,  1.07    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.19    ,  0.01  
FeO     , 18.83    ,  0.20  
Ni      ,  0.0783  ,  0.0040
Zn      ,  0.1043  ,  0.0035
Br      ,  0.0112  ,  0.0005
