"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.41    ,  0.14  
MgO     ,  4.93    ,  0.17  
Al2O3   ,  9.15    ,  0.19  
SiO2    , 50.74    ,  0.54  
P2O5    ,  1.00    ,  0.07  
SO3     ,  4.41    ,  0.10  
Cl      ,  0.95    ,  0.03  
K2O     ,  0.84    ,  0.04  
CaO     ,  4.10    ,  0.06  
TiO2    ,  1.08    ,  0.05  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.20    ,  0.01  
FeO     , 19.52    ,  0.26  
Ni      ,  0.0883  ,  0.0045
Zn      ,  0.1154  ,  0.0035
Br      ,  0.0174  ,  0.0010
