"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.19    ,  0.20  
MgO     ,  9.41    ,  0.33  
Al2O3   ,  8.69    ,  0.29  
SiO2    , 41.64    ,  0.64  
P2O5    ,  0.89    ,  0.07  
SO3     ,  4.67    ,  0.17  
Cl      ,  1.26    ,  0.07  
K2O     ,  0.62    ,  0.04  
CaO     ,  6.35    ,  0.13  
TiO2    ,  1.10    ,  0.07  
Cr2O3   ,  0.45    ,  0.05  
MnO     ,  0.31    ,  0.04  
FeO     , 21.18    ,  0.26  
Ni      ,  0.0845  ,  0.0080
Zn      ,  0.0872  ,  0.0055
Br      ,  0.0071  ,  0.0020
