"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.18    ,  0.20  
MgO     ,  5.37    ,  0.33  
Al2O3   ,  7.92    ,  0.48  
SiO2    , 41.87    ,  0.86  
P2O5    ,  1.02    ,  0.12  
SO3     , 10.38    ,  0.52  
Cl      ,  0.99    ,  0.05  
K2O     ,  0.78    ,  0.05  
CaO     ,  6.96    ,  0.35  
TiO2    ,  1.06    ,  0.07  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.23    ,  0.03  
FeO     , 20.61    ,  0.46  
Ni      ,  0.0990  ,  0.0050
Zn      ,  0.1199  ,  0.0060
Br      ,  0.0131  ,  0.0015
