"Target: Sutton_Island_DRT, Contains DAT files: APB_532735594ESC15230592668_______M1.DAT"
 7120.3  ,    5492
 7144.7  ,    3376
 7169.1  ,    1916
 7193.5  ,    1082
 7217.9  ,     563
 7242.3  ,     368
 7266.7  ,     237
 7291.1  ,     203
 7315.5  ,     214
 7339.9  ,     245
 7364.3  ,     327
 7388.7  ,     379
 7413.1  ,     435
 7437.5  ,     501
 7461.9  ,     505
 7486.3  ,     444
 7510.7  ,     411
 7535.1  ,     354
 7559.5  ,     275
 7583.9  ,     220
 7608.3  ,     187
 7632.7  ,     165
 7657.1  ,     166
 7681.4  ,     169
 7705.8  ,     141
 7730.2  ,     149
 7754.6  ,     160
 7779.0  ,     162
 7803.4  ,     161
 7827.8  ,     158
 7852.2  ,     181
 7876.6  ,     167
 7901.0  ,     166
 7925.4  ,     176
 7949.8  ,     174
 7974.2  ,     161
 7998.6  ,     197
 8023.0  ,     174
 8047.4  ,     179
 8071.8  ,     153
 8096.2  ,     198
 8120.6  ,     186
 8145.0  ,     138
 8169.4  ,     180
 8193.8  ,     175
 8218.2  ,     204
 8242.6  ,     222
 8267.0  ,     190
 8291.4  ,     205
 8315.8  ,     187
 8340.2  ,     174
 8364.6  ,     184
 8389.0  ,     177
 8413.4  ,     169
 8437.7  ,     215
 8462.1  ,     230
 8486.5  ,     285
 8510.9  ,     388
 8535.3  ,     510
 8559.7  ,     546
 8584.1  ,     656
 8608.5  ,     741
 8632.9  ,     752
 8657.3  ,     676
 8681.7  ,     554
 8706.1  ,     379
 8730.5  ,     314
 8754.9  ,     256
 8779.3  ,     186
 8803.7  ,     167
 8828.1  ,     181
 8852.5  ,     154
 8876.9  ,     127
 8901.3  ,     172
 8925.7  ,     147
 8950.1  ,     162
 8974.5  ,     168
 8998.9  ,     154
 9023.3  ,     150
 9047.7  ,     174
 9072.1  ,     151
 9096.5  ,     159
 9120.9  ,     159
 9145.3  ,     133
 9169.7  ,     175
 9194.0  ,     204
 9218.4  ,     192
 9242.8  ,     184
