"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.13    ,  0.07  
MgO     ,  3.97    ,  0.08  
Al2O3   ,  7.33    ,  0.19  
SiO2    , 37.37    ,  0.43  
P2O5    ,  0.87    ,  0.05  
SO3     , 15.28    ,  0.17  
Cl      ,  2.10    ,  0.03  
K2O     ,  0.62    ,  0.02  
CaO     ,  8.64    ,  0.10  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.08    ,  0.01  
FeO     , 20.00    ,  0.26  
Ni      ,  0.0995  ,  0.0050
Zn      ,  0.0919  ,  0.0030
Br      ,  0.0229  ,  0.0010
