"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.57    ,  0.14  
MgO     ,  5.68    ,  0.17  
Al2O3   ,  9.12    ,  0.19  
SiO2    , 46.67    ,  0.54  
P2O5    ,  0.85    ,  0.05  
SO3     , 11.02    ,  0.12  
Cl      ,  1.16    ,  0.03  
K2O     ,  0.95    ,  0.04  
CaO     ,  6.43    ,  0.07  
TiO2    ,  0.95    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.21    ,  0.01  
FeO     , 13.78    ,  0.20  
Ni      ,  0.0942  ,  0.0050
Zn      ,  0.0994  ,  0.0030
Br      ,  0.0178  ,  0.0010
