"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.36    ,  0.14  
MgO     ,  8.07    ,  0.17  
Al2O3   ,  8.00    ,  0.19  
SiO2    , 40.87    ,  0.54  
P2O5    ,  1.02    ,  0.07  
SO3     , 12.13    ,  0.17  
Cl      ,  1.20    ,  0.04  
K2O     ,  0.65    ,  0.02  
CaO     ,  5.56    ,  0.07  
TiO2    ,  1.00    ,  0.05  
Cr2O3   ,  0.30    ,  0.03  
MnO     ,  0.37    ,  0.03  
FeO     , 17.99    ,  0.20  
Ni      ,  0.0801  ,  0.0045
Zn      ,  0.1960  ,  0.0060
Br      ,  0.0235  ,  0.0010
