"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  4.08    ,  0.14  
MgO     ,  4.03    ,  0.17  
Al2O3   ,  8.55    ,  0.19  
SiO2    , 45.42    ,  0.54  
P2O5    ,  0.67    ,  0.05  
SO3     ,  3.21    ,  0.10  
Cl      ,  0.64    ,  0.03  
K2O     ,  1.47    ,  0.05  
CaO     ,  3.67    ,  0.07  
TiO2    ,  0.67    ,  0.03  
Cr2O3   ,  0.05    ,  0.03  
MnO     ,  0.26    ,  0.03  
FeO     , 27.15    ,  0.33  
Ni      ,  0.0194  ,  0.0030
Zn      ,  0.0232  ,  0.0020
Br      ,  0.0183  ,  0.0015
