"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.56    ,  0.20  
MgO     ,  5.24    ,  0.25  
Al2O3   ,  9.20    ,  0.29  
SiO2    , 49.57    ,  0.75  
P2O5    ,  0.88    ,  0.07  
SO3     ,  5.15    ,  0.17  
Cl      ,  1.19    ,  0.06  
K2O     ,  1.02    ,  0.04  
CaO     ,  3.52    ,  0.08  
TiO2    ,  1.00    ,  0.07  
Cr2O3   ,  0.31    ,  0.05  
MnO     ,  0.08    ,  0.03  
FeO     , 19.85    ,  0.26  
Ni      ,  0.0900  ,  0.0065
Zn      ,  0.0505  ,  0.0035
Br      ,  0.0256  ,  0.0015
