"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.64    ,  0.14  
MgO     ,  7.69    ,  0.17  
Al2O3   ,  8.88    ,  0.19  
SiO2    , 46.70    ,  0.54  
P2O5    ,  0.88    ,  0.05  
SO3     ,  5.46    ,  0.10  
Cl      ,  1.33    ,  0.04  
K2O     ,  0.88    ,  0.04  
CaO     ,  4.57    ,  0.06  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.39    ,  0.03  
MnO     ,  0.36    ,  0.03  
FeO     , 18.88    ,  0.20  
Ni      ,  0.0701  ,  0.0040
Zn      ,  0.1129  ,  0.0035
Br      ,  0.0429  ,  0.0015
