"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.65    ,  0.14  
MgO     ,  5.98    ,  0.17  
Al2O3   ,  9.15    ,  0.19  
SiO2    , 47.98    ,  0.54  
P2O5    ,  0.96    ,  0.07  
SO3     ,  5.49    ,  0.10  
Cl      ,  1.52    ,  0.04  
K2O     ,  1.01    ,  0.04  
CaO     ,  3.80    ,  0.04  
TiO2    ,  1.07    ,  0.03  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 19.65    ,  0.26  
Ni      ,  0.0918  ,  0.0050
Zn      ,  0.0885  ,  0.0030
Br      ,  0.0285  ,  0.0010
