"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.43    ,  0.20  
MgO     ,  7.54    ,  0.25  
Al2O3   ,  8.23    ,  0.19  
SiO2    , 42.77    ,  0.54  
P2O5    ,  1.11    ,  0.07  
SO3     ,  9.58    ,  0.22  
Cl      ,  0.96    ,  0.05  
K2O     ,  0.61    ,  0.04  
CaO     ,  5.56    ,  0.10  
TiO2    ,  1.05    ,  0.05  
Cr2O3   ,  0.28    ,  0.03  
MnO     ,  0.23    ,  0.03  
FeO     , 19.25    ,  0.20  
Ni      ,  0.0795  ,  0.0060
Zn      ,  0.2015  ,  0.0065
Br      ,  0.0517  ,  0.0020
