"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.39    ,  0.14  
MgO     ,  7.32    ,  0.17  
Al2O3   ,  8.85    ,  0.19  
SiO2    , 46.18    ,  0.54  
P2O5    ,  0.90    ,  0.05  
SO3     ,  7.08    ,  0.12  
Cl      ,  1.62    ,  0.04  
K2O     ,  0.84    ,  0.04  
CaO     ,  4.04    ,  0.06  
TiO2    ,  1.14    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.50    ,  0.03  
FeO     , 18.33    ,  0.20  
Ni      ,  0.0799  ,  0.0040
Zn      ,  0.2202  ,  0.0070
Br      ,  0.0401  ,  0.0015
