"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.15    ,  0.07  
MgO     ,  3.45    ,  0.08  
Al2O3   ,  6.09    ,  0.19  
SiO2    , 68.09    ,  0.75  
P2O5    ,  1.32    ,  0.07  
SO3     ,  7.21    ,  0.08  
Cl      ,  0.71    ,  0.02  
K2O     ,  0.82    ,  0.04  
CaO     ,  3.87    ,  0.04  
TiO2    ,  1.51    ,  0.05  
Cr2O3   ,  0.10    ,  0.01  
MnO     ,  0.06    ,  0.01  
FeO     ,  4.40    ,  0.07  
Ni      ,  0.0110  ,  0.0010
Zn      ,  0.0206  ,  0.0010
Br      ,  0.0058  ,  0.0005
