"Target: Buckskin_DRT_raster2, Contains DAT files: APB_491372464ESC10580482542_______M1.DAT"
 7201.4  ,     343
 7225.8  ,     265
 7250.2  ,     198
 7274.6  ,     153
 7299.1  ,     164
 7323.5  ,     159
 7347.9  ,     216
 7372.3  ,     220
 7396.7  ,     276
 7421.1  ,     330
 7445.6  ,     293
 7470.0  ,     283
 7494.4  ,     273
 7518.8  ,     252
 7543.2  ,     198
 7567.7  ,     166
 7592.1  ,     144
 7616.5  ,     150
 7640.9  ,     143
 7665.3  ,     157
 7689.7  ,     145
 7714.2  ,     133
 7738.6  ,     133
 7763.0  ,     156
 7787.4  ,     173
 7811.8  ,     179
 7836.3  ,     175
 7860.7  ,     176
 7885.1  ,     160
 7909.5  ,     177
 7933.9  ,     197
 7958.4  ,     158
 7982.8  ,     186
 8007.2  ,     177
 8031.6  ,     174
 8056.0  ,     174
 8080.4  ,     173
 8104.9  ,     160
 8129.3  ,     153
 8153.7  ,     182
 8178.1  ,     162
 8202.5  ,     164
 8227.0  ,     162
 8251.4  ,     162
 8275.8  ,     170
 8300.2  ,     165
 8324.6  ,     182
 8349.0  ,     182
 8373.5  ,     180
 8397.9  ,     170
 8422.3  ,     185
 8446.7  ,     180
 8471.1  ,     224
 8495.6  ,     262
 8520.0  ,     388
 8544.4  ,     444
 8568.8  ,     600
 8593.2  ,     635
 8617.7  ,     660
 8642.1  ,     629
 8666.5  ,     533
 8690.9  ,     389
 8715.3  ,     328
 8739.7  ,     225
 8764.2  ,     195
 8788.6  ,     140
 8813.0  ,     141
 8837.4  ,     153
 8861.8  ,     145
 8886.3  ,     144
 8910.7  ,     165
 8935.1  ,     153
 8959.5  ,     156
 8983.9  ,     141
 9008.3  ,     181
 9032.8  ,     165
 9057.2  ,     151
 9081.6  ,     159
 9106.0  ,     151
 9130.4  ,     165
 9154.9  ,     161
 9179.3  ,     192
 9203.7  ,     190
 9228.1  ,     205
 9252.5  ,     180
 9277.0  ,     163
 9301.4  ,     146
 9325.8  ,     165
 9350.2  ,     169
 9374.6  ,     147
 9399.0  ,     153
 9423.5  ,     156
 9447.9  ,     187
 9472.3  ,     163
 9496.7  ,     213
 9521.1  ,     232
 9545.6  ,     229
 9570.0  ,     221
 9594.4  ,     213
 9618.8  ,     223
 9643.2  ,     215
 9667.6  ,     181
 9692.1  ,     180
 9716.5  ,     156
 9740.9  ,     183
 9765.3  ,     243
 9789.7  ,     267
 9814.2  ,     292
 9838.6  ,     299
 9863.0  ,     319
 9887.4  ,     305
 9911.8  ,     306
 9936.2  ,     253
 9960.7  ,     206
 9985.1  ,     176
10009.5  ,     154
10033.9  ,     160
10058.3  ,     153
10082.8  ,     166
10107.2  ,     136
10131.6  ,     156
10156.0  ,     146
10180.4  ,     151
10204.9  ,     148
10229.3  ,     155
10253.7  ,     138
10278.1  ,     149
10302.5  ,     136
10326.9  ,     167
10351.4  ,     163
10375.8  ,     173
10400.2  ,     176
10424.6  ,     176
10449.0  ,     162
10473.5  ,     175
10497.9  ,     204
10522.3  ,     237
10546.7  ,     236
10571.1  ,     198
10595.5  ,     185
10620.0  ,     204
10644.4  ,     155
10668.8  ,     180
10693.2  ,     173
10717.6  ,     172
10742.1  ,     177
10766.5  ,     168
10790.9  ,     184
10815.3  ,     171
10839.7  ,     152
10864.2  ,     189
10888.6  ,     161
10913.0  ,     196
10937.4  ,     169
10961.8  ,     196
10986.2  ,     185
11010.7  ,     185
11035.1  ,     218
11059.5  ,     190
11083.9  ,     179
11108.3  ,     186
11132.8  ,     189
11157.2  ,     180
11181.6  ,     184
11206.0  ,     197
11230.4  ,     202
11254.8  ,     200
11279.3  ,     209
11303.7  ,     231
11328.1  ,     234
11352.5  ,     260
11376.9  ,     257
11401.4  ,     251
11425.8  ,     295
11450.2  ,     324
11474.6  ,     322
11499.0  ,     387
11523.5  ,     312
11547.9  ,     380
11572.3  ,     377
11596.7  ,     373
11621.1  ,     371
11645.5  ,     377
11670.0  ,     363
11694.4  ,     393
11718.8  ,     399
11743.2  ,     407
11767.6  ,     425
11792.1  ,     441
11816.5  ,     472
11840.9  ,     521
11865.3  ,     578
11889.7  ,     572
11914.1  ,     554
11938.6  ,     526
11963.0  ,     541
11987.4  ,     471
12011.8  ,     517
12036.2  ,     518
12060.7  ,     497
12085.1  ,     559
12109.5  ,     580
12133.9  ,     531
12158.3  ,     523
12182.7  ,     457
12207.2  ,     436
12231.6  ,     384
12256.0  ,     356
12280.4  ,     341
12304.8  ,     315
12329.3  ,     289
12353.7  ,     305
12378.1  ,     281
12402.5  ,     316
12426.9  ,     279
12451.4  ,     325
12475.8  ,     337
12500.2  ,     361
12524.6  ,     357
12549.0  ,     354
12573.4  ,     405
12597.9  ,     377
12622.3  ,     430
12646.7  ,     470
12671.1  ,     439
12695.5  ,     457
12720.0  ,     520
12744.4  ,     458
12768.8  ,     475
12793.2  ,     534
12817.6  ,     524
12842.0  ,     575
12866.5  ,     613
12890.9  ,     662
12915.3  ,     685
12939.7  ,     749
12964.1  ,     782
12988.6  ,     857
13013.0  ,     852
13037.4  ,     991
13061.8  ,    1063
13086.2  ,    1164
13110.7  ,    1366
13135.1  ,    1425
13159.5  ,    1517
13183.9  ,    1729
13208.3  ,    1932
13232.7  ,    2132
13257.2  ,    2340
13281.6  ,    2649
13306.0  ,    2868
13330.4  ,    3275
13354.8  ,    3469
13379.3  ,    3840
13403.7  ,    3841
13428.1  ,    4204
13452.5  ,    4258
13476.9  ,    4316
13501.3  ,    4309
13525.8  ,    4433
13550.2  ,    4318
13574.6  ,    4114
13599.0  ,    4150
13623.4  ,    3862
13647.9  ,    3771
13672.3  ,    3488
13696.7  ,    3215
13721.1  ,    2872
13745.5  ,    2669
13769.9  ,    2458
13794.4  ,    2232
13818.8  ,    1924
13843.2  ,    1777
13867.6  ,    1737
13892.0  ,    1522
13916.5  ,    1537
13940.9  ,    1502
13965.3  ,    1443
13989.7  ,    1632
14014.1  ,    1739
14038.6  ,    1870
14063.0  ,    2013
14087.4  ,    2270
14111.8  ,    2524
14136.2  ,    2951
14160.6  ,    3283
14185.1  ,    3915
14209.5  ,    4357
14233.9  ,    4844
14258.3  ,    4885
14282.7  ,    4667
14307.2  ,    4458
14331.6  ,    3897
14356.0  ,    3144
14380.4  ,    2368
14404.8  ,    1778
14429.2  ,    1209
14453.7  ,     846
14478.1  ,     557
14502.5  ,     433
14526.9  ,     346
14551.3  ,     275
14575.8  ,     257
14600.2  ,     268
14624.6  ,     271
14649.0  ,     264
14673.4  ,     279
14697.9  ,     279
14722.3  ,     282
14746.7  ,     289
14771.1  ,     288
14795.5  ,     286
14819.9  ,     284
14844.4  ,     315
14868.8  ,     376
14893.2  ,     384
14917.6  ,     410
14942.0  ,     384
14966.5  ,     398
14990.9  ,     433
15015.3  ,     399
15039.7  ,     448
15064.1  ,     399
15088.5  ,     422
15113.0  ,     451
15137.4  ,     458
15161.8  ,     468
15186.2  ,     477
15210.6  ,     552
15235.1  ,     536
15259.5  ,     624
15283.9  ,     614
15308.3  ,     692
15332.7  ,     671
15357.2  ,     712
15381.6  ,     779
15406.0  ,     817
15430.4  ,     875
15454.8  ,     927
15479.2  ,     980
15503.7  ,    1152
15528.1  ,    1387
15552.5  ,    1701
15576.9  ,    2003
15601.3  ,    2496
15625.8  ,    3138
15650.2  ,    3634
15674.6  ,    4341
15699.0  ,    4827
15723.4  ,    5216
15747.8  ,    5280
15772.3  ,    5273
15796.7  ,    4826
15821.1  ,    4334
15845.5  ,    3629
15869.9  ,    3035
15894.4  ,    2557
15918.8  ,    2142
15943.2  ,    1784
15967.6  ,    1621
15992.0  ,    1577
16016.4  ,    1575
16040.9  ,    1577
16065.3  ,    1612
16089.7  ,    1721
16114.1  ,    1666
16138.5  ,    1764
16163.0  ,    1762
16187.4  ,    1882
16211.8  ,    1885
16236.2  ,    2019
16260.6  ,    1898
16285.1  ,    1966
16309.5  ,    2018
16333.9  ,    2022
16358.3  ,    2036
16382.7  ,    2000
16407.1  ,    1901
16431.6  ,    1955
16456.0  ,    1997
16480.4  ,    1962
16504.8  ,    1951
16529.2  ,    1997
16553.7  ,    2111
16578.1  ,    2069
16602.5  ,    2030
16626.9  ,    2121
16651.3  ,    2256
16675.7  ,    2297
16700.2  ,    2493
16724.6  ,    2599
16749.0  ,    2785
16773.4  ,    2888
16797.8  ,    2988
16822.3  ,    3216
16846.7  ,    3675
16871.1  ,    3867
16895.5  ,    4045
16919.9  ,    4264
16944.4  ,    4620
16968.8  ,    4764
16993.2  ,    4866
17017.6  ,    5027
17042.0  ,    5195
17066.4  ,    5375
17090.9  ,    5347
17115.3  ,    5647
17139.7  ,    5517
17164.1  ,    5718
17188.5  ,    5482
17213.0  ,    5551
17237.4  ,    5339
17261.8  ,    5354
17286.2  ,    4954
17310.6  ,    4467
17335.0  ,    4211
17359.5  ,    3956
17383.9  ,    3473
17408.3  ,    3128
17432.7  ,    2850
17457.1  ,    2562
17481.6  ,    2420
17506.0  ,    2304
17530.4  ,    2202
17554.8  ,    2046
17579.2  ,    2011
17603.7  ,    2121
17628.1  ,    2124
17652.5  ,    2011
17676.9  ,    1976
17701.3  ,    1767
17725.7  ,    1655
17750.2  ,    1426
17774.6  ,    1368
17799.0  ,    1254
17823.4  ,    1154
17847.8  ,    1027
17872.3  ,     918
17896.7  ,     955
17921.1  ,     954
17945.5  ,     882
17969.9  ,     916
17994.3  ,     852
18018.8  ,     926
18043.2  ,     902
18067.6  ,     961
18092.0  ,    1064
18116.4  ,    1232
18140.9  ,    1515
18165.3  ,    1840
18189.7  ,    2264
18214.1  ,    2699
18238.5  ,    3073
18262.9  ,    3397
18287.4  ,    3598
18311.8  ,    3455
18336.2  ,    3219
18360.6  ,    2768
18385.0  ,    2231
18409.5  ,    1868
18433.9  ,    1419
18458.3  ,    1075
18482.7  ,     736
18507.1  ,     580
18531.6  ,     410
18556.0  ,     345
18580.4  ,     305
18604.8  ,     300
18629.2  ,     243
18653.6  ,     258
18678.1  ,     250
18702.5  ,     237
18726.9  ,     261
18751.3  ,     246
18775.7  ,     256
18800.2  ,     263
18824.6  ,     262
18849.0  ,     270
18873.4  ,     275
18897.8  ,     253
18922.2  ,     303
18946.7  ,     317
18971.1  ,     283
18995.5  ,     313
19019.9  ,     339
19044.3  ,     357
19068.8  ,     385
19093.2  ,     369
19117.6  ,     385
19142.0  ,     394
19166.4  ,     411
19190.9  ,     454
19215.3  ,     462
19239.7  ,     481
19264.1  ,     559
19288.5  ,     533
19312.9  ,     542
19337.4  ,     575
19361.8  ,     651
19386.2  ,     635
19410.6  ,     653
19435.0  ,     696
19459.5  ,     794
19483.9  ,     793
19508.3  ,     903
19532.7  ,     923
19557.1  ,     953
19581.5  ,     977
19606.0  ,    1053
19630.4  ,    1124
19654.8  ,    1223
19679.2  ,    1200
19703.6  ,    1219
19728.1  ,    1308
19752.5  ,    1304
19776.9  ,    1391
19801.3  ,    1234
19825.7  ,    1340
19850.2  ,    1324
19874.6  ,    1322
19899.0  ,    1295
19923.4  ,    1249
19947.8  ,    1275
19972.2  ,    1220
19996.7  ,    1170
20021.1  ,    1108
20045.5  ,    1077
20069.9  ,    1068
20094.3  ,     976
20118.8  ,     980
20143.2  ,     863
20167.6  ,     916
20192.0  ,     765
20216.4  ,     788
20240.8  ,     770
20265.3  ,     751
20289.7  ,     726
20314.1  ,     742
20338.5  ,     732
20362.9  ,     623
20387.4  ,     587
20411.8  ,     642
20436.2  ,     629
20460.6  ,     572
20485.0  ,     525
20509.4  ,     577
20533.9  ,     582
20558.3  ,     523
20582.7  ,     496
20607.1  ,     452
20631.5  ,     477
20656.0  ,     449
20680.4  ,     458
20704.8  ,     465
20729.2  ,     372
20753.6  ,     386
20778.1  ,     360
20802.5  ,     331
20826.9  ,     327
20851.3  ,     314
20875.7  ,     298
20900.1  ,     255
20924.6  ,     250
20949.0  ,     255
20973.4  ,     226
20997.8  ,     241
21022.2  ,     205
21046.7  ,     213
21071.1  ,     199
21095.5  ,     202
21119.9  ,     205
21144.3  ,     183
21168.7  ,     218
21193.2  ,     208
21217.6  ,     255
21242.0  ,     305
21266.4  ,     349
21290.8  ,     415
21315.3  ,     524
21339.7  ,     558
21364.1  ,     650
21388.5  ,     683
21412.9  ,     678
21437.4  ,     677
21461.8  ,     711
21486.2  ,     622
21510.6  ,     552
21535.0  ,     447
21559.4  ,     385
21583.9  ,     270
21608.3  ,     233
21632.7  ,     182
21657.1  ,     165
21681.5  ,     124
21706.0  ,     104
21730.4  ,      99
21754.8  ,      97
21779.2  ,      98
21803.6  ,      94
21828.0  ,      92
21852.5  ,      96
21876.9  ,     105
21901.3  ,      94
21925.7  ,      92
21950.1  ,     115
21974.6  ,     106
21999.0  ,     113
22023.4  ,     137
22047.8  ,     136
22072.2  ,     142
22096.6  ,     163
22121.1  ,     191
22145.5  ,     166
22169.9  ,     153
22194.3  ,     190
22218.7  ,     188
22243.2  ,     166
22267.6  ,     135
22292.0  ,     127
22316.4  ,     105
22340.8  ,      88
22365.3  ,      80
22389.7  ,      79
22414.1  ,      83
22438.5  ,      68
22462.9  ,      63
22487.3  ,      64
22511.8  ,      58
22536.2  ,      60
22560.6  ,      57
22585.0  ,      63
22609.4  ,      55
22633.9  ,      46
22658.3  ,      56
22682.7  ,      62
22707.1  ,      57
22731.5  ,      62
22755.9  ,      53
22780.4  ,      60
22804.8  ,      67
22829.2  ,      68
22853.6  ,      64
22878.0  ,      54
22902.5  ,      62
22926.9  ,      55
22951.3  ,      54
22975.7  ,      41
23000.1  ,      61
23024.6  ,      55
23049.0  ,      63
23073.4  ,      61
23097.8  ,      74
23122.2  ,      70
23146.6  ,      53
23171.1  ,      51
23195.5  ,      61
23219.9  ,      44
23244.3  ,      57
23268.7  ,      63
23293.2  ,      54
23317.6  ,      54
23342.0  ,      59
23366.4  ,      45
23390.8  ,      57
23415.2  ,      37
23439.7  ,      57
23464.1  ,      48
23488.5  ,      61
23512.9  ,      47
23537.3  ,      54
23561.8  ,      57
23586.2  ,      51
23610.6  ,      56
23635.0  ,      55
23659.4  ,      47
23683.9  ,      58
23708.3  ,      57
23732.7  ,      52
23757.1  ,      51
23781.5  ,      57
23805.9  ,      71
23830.4  ,      64
23854.8  ,      49
23879.2  ,      46
23903.6  ,      57
23928.0  ,      65
23952.5  ,      60
23976.9  ,      47
24001.3  ,      48
24025.7  ,      57
24050.1  ,      55
24074.5  ,      47
24099.0  ,      49
24123.4  ,      58
24147.8  ,      52
24172.2  ,      51
24196.6  ,      53
24221.1  ,      70
24245.5  ,      51
24269.9  ,      61
24294.3  ,      51
24318.7  ,      59
24343.1  ,      64
24367.6  ,      53
24392.0  ,      76
24416.4  ,      60
24440.8  ,      55
24465.2  ,      65
24489.7  ,      61
24514.1  ,      51
24538.5  ,      50
24562.9  ,      48
24587.3  ,      56
24611.8  ,      43
24636.2  ,      46
24660.6  ,      56
24685.0  ,      48
24709.4  ,      59
24733.8  ,      49
24758.3  ,      57
24782.7  ,      59
24807.1  ,      64
24831.5  ,      60
24855.9  ,      56
24880.4  ,      56
24904.8  ,      48
