"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.99    ,  0.14  
MgO     ,  3.59    ,  0.17  
Al2O3   ,  8.49    ,  0.19  
SiO2    , 44.97    ,  0.54  
P2O5    ,  1.07    ,  0.07  
SO3     ,  8.15    ,  0.15  
Cl      ,  0.56    ,  0.03  
K2O     ,  1.00    ,  0.04  
CaO     ,  6.45    ,  0.07  
TiO2    ,  1.15    ,  0.05  
Cr2O3   ,  0.34    ,  0.03  
MnO     ,  0.23    ,  0.01  
FeO     , 21.70    ,  0.26  
Ni      ,  0.0754  ,  0.0040
Zn      ,  0.1260  ,  0.0040
Br      ,  0.0080  ,  0.0010
