"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.46    ,  0.14  
MgO     ,  7.79    ,  0.17  
Al2O3   ,  8.98    ,  0.19  
SiO2    , 46.13    ,  0.54  
P2O5    ,  1.03    ,  0.07  
SO3     ,  7.53    ,  0.10  
Cl      ,  1.91    ,  0.03  
K2O     ,  0.88    ,  0.04  
CaO     ,  4.09    ,  0.04  
TiO2    ,  1.17    ,  0.05  
Cr2O3   ,  0.36    ,  0.01  
MnO     ,  0.26    ,  0.01  
FeO     , 17.05    ,  0.20  
Ni      ,  0.0602  ,  0.0035
Zn      ,  0.1654  ,  0.0050
Br      ,  0.0366  ,  0.0015
