"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.39    ,  0.14  
MgO     ,  5.30    ,  0.17  
Al2O3   ,  9.47    ,  0.29  
SiO2    , 46.76    ,  0.54  
P2O5    ,  0.86    ,  0.05  
SO3     ,  7.24    ,  0.15  
Cl      ,  1.46    ,  0.04  
K2O     ,  1.01    ,  0.04  
CaO     ,  4.43    ,  0.06  
TiO2    ,  1.12    ,  0.05  
Cr2O3   ,  0.32    ,  0.03  
MnO     ,  0.09    ,  0.01  
FeO     , 19.20    ,  0.20  
Ni      ,  0.0895  ,  0.0045
Zn      ,  0.1596  ,  0.0050
Br      ,  0.0235  ,  0.0010
