"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.92    ,  0.07  
MgO     ,  4.24    ,  0.17  
Al2O3   ,  4.57    ,  0.10  
SiO2    , 22.88    ,  0.32  
P2O5    ,  0.86    ,  0.05  
SO3     , 31.73    ,  0.32  
Cl      ,  1.34    ,  0.02  
K2O     ,  0.42    ,  0.02  
CaO     , 22.29    ,  0.22  
TiO2    ,  0.43    ,  0.02  
Cr2O3   ,  0.14    ,  0.01  
MnO     ,  0.11    ,  0.01  
FeO     ,  8.92    ,  0.13  
Ni      ,  0.0354  ,  0.0020
Zn      ,  0.0638  ,  0.0020
Br      ,  0.0206  ,  0.0010
