"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.95    ,  0.14  
MgO     ,  5.75    ,  0.17  
Al2O3   ,  9.34    ,  0.19  
SiO2    , 48.99    ,  0.54  
P2O5    ,  1.33    ,  0.07  
SO3     ,  6.71    ,  0.10  
Cl      ,  0.64    ,  0.02  
K2O     ,  0.77    ,  0.02  
CaO     ,  5.34    ,  0.06  
TiO2    ,  1.16    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.21    ,  0.01  
FeO     , 16.23    ,  0.20  
Ni      ,  0.0510  ,  0.0030
Zn      ,  0.0673  ,  0.0025
Br      ,  0.0258  ,  0.0010
