"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.17    ,  0.14  
MgO     ,  7.65    ,  0.17  
Al2O3   ,  8.16    ,  0.19  
SiO2    , 44.40    ,  0.54  
P2O5    ,  1.07    ,  0.07  
SO3     , 10.44    ,  0.12  
Cl      ,  1.45    ,  0.03  
K2O     ,  0.96    ,  0.04  
CaO     ,  3.34    ,  0.04  
TiO2    ,  1.06    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.21    ,  0.01  
FeO     , 18.43    ,  0.20  
Ni      ,  0.0922  ,  0.0050
Zn      ,  0.1347  ,  0.0045
Br      ,  0.0524  ,  0.0020
