"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.42    ,  0.14  
MgO     ,  4.28    ,  0.17  
Al2O3   ,  8.97    ,  0.19  
SiO2    , 46.22    ,  0.54  
P2O5    ,  0.93    ,  0.07  
SO3     ,  7.39    ,  0.12  
Cl      ,  1.01    ,  0.03  
K2O     ,  0.82    ,  0.04  
CaO     ,  5.45    ,  0.07  
TiO2    ,  1.13    ,  0.17  
Cr2O3   ,  0.29    ,  0.03  
MnO     ,  0.31    ,  0.03  
FeO     , 20.42    ,  0.26  
Ni      ,  0.1069  ,  0.0055
Zn      ,  0.1621  ,  0.0050
Br      ,  0.0036  ,  0.0010
