"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.63    ,  0.14  
MgO     ,  5.47    ,  0.17  
Al2O3   ,  8.64    ,  0.19  
SiO2    , 45.34    ,  0.54  
P2O5    ,  1.14    ,  0.07  
SO3     ,  6.65    ,  0.10  
Cl      ,  2.31    ,  0.03  
K2O     ,  1.09    ,  0.04  
CaO     ,  3.93    ,  0.04  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.30    ,  0.01  
MnO     ,  0.26    ,  0.01  
FeO     , 20.92    ,  0.26  
Ni      ,  0.0752  ,  0.0040
Zn      ,  0.1239  ,  0.0040
Br      ,  0.0146  ,  0.0005
