"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.56    ,  0.14  
MgO     ,  5.97    ,  0.17  
Al2O3   ,  9.09    ,  0.19  
SiO2    , 47.27    ,  0.54  
P2O5    ,  0.75    ,  0.05  
SO3     ,  4.47    ,  0.08  
Cl      ,  0.91    ,  0.02  
K2O     ,  1.05    ,  0.04  
CaO     ,  3.47    ,  0.04  
TiO2    ,  1.10    ,  0.03  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.12    ,  0.01  
FeO     , 22.68    ,  0.26  
Ni      ,  0.0840  ,  0.0045
Zn      ,  0.0626  ,  0.0020
Br      ,  0.0088  ,  0.0005
