"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.70    ,  0.14  
MgO     ,  8.39    ,  0.25  
Al2O3   ,  9.34    ,  0.19  
SiO2    , 43.26    ,  0.54  
P2O5    ,  0.85    ,  0.05  
SO3     ,  5.19    ,  0.10  
Cl      ,  0.80    ,  0.03  
K2O     ,  0.58    ,  0.02  
CaO     ,  6.34    ,  0.07  
TiO2    ,  1.02    ,  0.03  
Cr2O3   ,  0.47    ,  0.03  
MnO     ,  0.31    ,  0.03  
FeO     , 20.56    ,  0.26  
Ni      ,  0.0645  ,  0.0035
Zn      ,  0.0392  ,  0.0020
Br      ,  0.0121  ,  0.0010
