"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.46    ,  0.14  
MgO     ,  4.91    ,  0.25  
Al2O3   ,  9.27    ,  0.29  
SiO2    , 47.83    ,  0.54  
P2O5    ,  0.77    ,  0.07  
SO3     ,  5.37    ,  0.15  
Cl      ,  1.13    ,  0.05  
K2O     ,  1.33    ,  0.05  
CaO     ,  3.61    ,  0.07  
TiO2    ,  1.15    ,  0.05  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.11    ,  0.03  
FeO     , 21.42    ,  0.26  
Ni      ,  0.0981  ,  0.0055
Zn      ,  0.1031  ,  0.0040
Br      ,  0.0027  ,  0.0010
