"oxide ","  APXS analysis ver 1"," statistical uncertainty (precision)"
Na2O    ,1.96,1.5
MgO     ,5.52,0.5
Al2O3   ,9.41,1
SiO2    ,43.1,1
P2O5    ,0,1
SO3     ,6.79,0.5
  Cl    ,1.13,0.2
K2O     ,0.76,0.2
CaO     ,7.44,0.3
TiO2    ,1.65,0.6
Cr2O3   ,0.09,0.3
MnO     ,0.3,0.3
FeO     ,21,0.7
  Ni    ,0.0442,0.02
  Zn    ,0.0502,0.02
  Br    ,0,0.01
