"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.23    ,  0.14  
MgO     ,  3.98    ,  0.17  
Al2O3   ,  8.34    ,  0.19  
SiO2    , 43.22    ,  0.64  
P2O5    ,  0.79    ,  0.07  
SO3     , 16.31    ,  0.30  
Cl      ,  1.38    ,  0.06  
K2O     ,  0.71    ,  0.04  
CaO     ,  9.04    ,  0.13  
TiO2    ,  0.81    ,  0.05  
Cr2O3   ,  0.29    ,  0.03  
MnO     ,  0.08    ,  0.03  
FeO     , 12.62    ,  0.13  
Ni      ,  0.0686  ,  0.0045
Zn      ,  0.0542  ,  0.0030
Br      ,  0.0142  ,  0.0015
