"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.82    ,  0.41  
MgO     ,  7.26    ,  1.50  
Al2O3   ,  7.73    ,  0.38  
SiO2    , 39.73    ,  0.75  
P2O5    ,  1.07    ,  0.23  
SO3     , 13.35    ,  0.47  
Cl      ,  1.29    ,  0.11  
K2O     ,  0.79    ,  0.17  
CaO     ,  6.20    ,  0.20  
TiO2    ,  1.25    ,  0.26  
Cr2O3   ,  0.29    ,  0.08  
MnO     ,  0.25    ,  0.05  
FeO     , 18.60    ,  0.26  
Ni      ,  0.0874  ,  0.0150
Zn      ,  0.1551  ,  0.0115
Br      ,  0.0236  ,  0.0030
