"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  1.88    ,  0.41  
MgO     ,  7.64    ,  1.58  
Al2O3   ,  7.69    ,  0.38  
SiO2    , 39.18    ,  0.86  
P2O5    ,  1.29    ,  0.28  
SO3     , 14.26    ,  0.50  
Cl      ,  1.01    ,  0.11  
K2O     ,  0.66    ,  0.13  
CaO     ,  5.82    ,  0.20  
TiO2    ,  0.85    ,  0.19  
Cr2O3   ,  0.26    ,  0.08  
MnO     ,  0.24    ,  0.05  
FeO     , 18.52    ,  0.26  
Ni      ,  0.0977  ,  0.0150
Zn      ,  0.1534  ,  0.0110
Br      ,  0.0160  ,  0.0030
