"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.67    ,  0.14  
MgO     ,  6.08    ,  0.17  
Al2O3   ,  9.20    ,  0.19  
SiO2    , 47.65    ,  0.54  
P2O5    ,  0.99    ,  0.07  
SO3     ,  8.13    ,  0.10  
Cl      ,  1.42    ,  0.02  
K2O     ,  0.86    ,  0.04  
CaO     ,  4.47    ,  0.06  
TiO2    ,  0.92    ,  0.03  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.10    ,  0.01  
FeO     , 16.90    ,  0.20  
Ni      ,  0.1768  ,  0.0090
Zn      ,  0.0695  ,  0.0025
Br      ,  0.0151  ,  0.0005
