"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.59    ,  0.14  
MgO     ,  6.65    ,  0.17  
Al2O3   ,  8.50    ,  0.19  
SiO2    , 46.67    ,  0.54  
P2O5    ,  1.02    ,  0.07  
SO3     ,  7.11    ,  0.12  
Cl      ,  1.70    ,  0.04  
K2O     ,  0.99    ,  0.04  
CaO     ,  3.01    ,  0.04  
TiO2    ,  1.04    ,  0.05  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.19    ,  0.01  
FeO     , 19.83    ,  0.26  
Ni      ,  0.0946  ,  0.0050
Zn      ,  0.1204  ,  0.0040
Br      ,  0.0725  ,  0.0025
