"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.25    ,  0.14  
MgO     ,  8.42    ,  0.25  
Al2O3   ,  8.86    ,  0.19  
SiO2    , 43.57    ,  0.54  
P2O5    ,  0.74    ,  0.05  
SO3     ,  5.08    ,  0.08  
Cl      ,  1.52    ,  0.02  
K2O     ,  0.93    ,  0.04  
CaO     ,  5.86    ,  0.07  
TiO2    ,  0.89    ,  0.03  
Cr2O3   ,  0.39    ,  0.01  
MnO     ,  0.40    ,  0.01  
FeO     , 19.87    ,  0.26  
Ni      ,  0.0485  ,  0.0025
Zn      ,  0.0449  ,  0.0015
Br      ,  0.0277  ,  0.0010
