"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.76    ,  0.14  
MgO     ,  9.65    ,  0.25  
Al2O3   ,  8.92    ,  0.19  
SiO2    , 40.99    ,  0.43  
P2O5    ,  0.89    ,  0.05  
SO3     ,  7.65    ,  0.12  
Cl      ,  1.24    ,  0.03  
K2O     ,  0.46    ,  0.02  
CaO     ,  6.40    ,  0.07  
TiO2    ,  0.92    ,  0.03  
Cr2O3   ,  0.42    ,  0.03  
MnO     ,  0.40    ,  0.03  
FeO     , 19.13    ,  0.20  
Ni      ,  0.0545  ,  0.0030
Zn      ,  0.0419  ,  0.0020
Br      ,  0.0053  ,  0.0010
