"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.70    ,  0.27  
MgO     ,  3.85    ,  0.25  
Al2O3   ,  9.96    ,  0.38  
SiO2    , 50.73    ,  0.75  
P2O5    ,  1.07    ,  0.09  
SO3     ,  4.42    ,  0.15  
Cl      ,  0.34    ,  0.04  
K2O     ,  0.90    ,  0.04  
CaO     ,  3.88    ,  0.08  
TiO2    ,  1.21    ,  0.09  
Cr2O3   ,  0.38    ,  0.05  
MnO     ,  0.31    ,  0.04  
FeO     , 19.49    ,  0.26  
Ni      ,  0.1261  ,  0.0070
Zn      ,  0.2354  ,  0.0075
Br      ,  0.0027  ,  0.0015
