"Target: Mammoth_rp, Contains DAT files: APB_464835267ESC07590421020_______M1.DAT"
 7114.1  ,    9432
 7138.5  ,    6343
 7162.9  ,    4062
 7187.2  ,    2410
 7211.6  ,    1353
 7236.0  ,     779
 7260.3  ,     551
 7284.7  ,     515
 7309.0  ,     593
 7333.4  ,     934
 7357.8  ,    1279
 7382.1  ,    1732
 7406.5  ,    2069
 7430.9  ,    2542
 7455.2  ,    2612
 7479.6  ,    2434
 7503.9  ,    2036
 7528.3  ,    1666
 7552.7  ,    1153
 7577.0  ,     867
 7601.4  ,     560
 7625.8  ,     383
 7650.1  ,     291
 7674.5  ,     196
 7698.8  ,     177
 7723.2  ,     218
 7747.6  ,     189
 7771.9  ,     188
 7796.3  ,     172
 7820.7  ,     200
 7845.0  ,     194
 7869.4  ,     212
 7893.7  ,     171
 7918.1  ,     213
 7942.5  ,     202
 7966.8  ,     230
 7991.2  ,     252
 8015.6  ,     268
 8039.9  ,     232
 8064.3  ,     308
 8088.6  ,     310
 8113.0  ,     343
 8137.4  ,     375
 8161.7  ,     439
 8186.1  ,     467
 8210.5  ,     554
 8234.8  ,     516
 8259.2  ,     576
 8283.6  ,     513
 8307.9  ,     435
 8332.3  ,     360
 8356.6  ,     383
 8381.0  ,     361
 8405.4  ,     353
 8429.7  ,     426
 8454.1  ,     700
 8478.5  ,     935
 8502.8  ,    1422
 8527.2  ,    1823
 8551.5  ,    2363
 8575.9  ,    2725
 8600.3  ,    3035
 8624.6  ,    3147
 8649.0  ,    2840
 8673.4  ,    2374
 8697.7  ,    1959
 8722.1  ,    1300
 8746.4  ,     874
 8770.8  ,     596
 8795.2  ,     434
 8819.5  ,     281
 8843.9  ,     202
 8868.3  ,     177
 8892.6  ,     152
 8917.0  ,     170
 8941.3  ,     157
 8965.7  ,     170
 8990.1  ,     181
 9014.4  ,     172
 9038.8  ,     178
 9063.2  ,     167
 9087.5  ,     189
 9111.9  ,     167
 9136.2  ,     192
 9160.6  ,     182
 9185.0  ,     185
 9209.3  ,     191
 9233.7  ,     211
 9258.1  ,     198
 9282.4  ,     200
 9306.8  ,     217
 9331.1  ,     192
 9355.5  ,     195
 9379.9  ,     255
 9404.2  ,     282
 9428.6  ,     346
 9453.0  ,     353
 9477.3  ,     486
 9501.7  ,     538
 9526.0  ,     601
 9550.4  ,     628
 9574.8  ,     624
 9599.1  ,     595
 9623.5  ,     531
 9647.9  ,     393
 9672.2  ,     343
 9696.6  ,     280
 9720.9  ,     268
 9745.3  ,     276
