"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.54    ,  0.14  
MgO     ,  6.44    ,  0.17  
Al2O3   ,  9.86    ,  0.29  
SiO2    , 50.47    ,  0.54  
P2O5    ,  0.75    ,  0.05  
SO3     ,  6.47    ,  0.08  
Cl      ,  1.17    ,  0.02  
K2O     ,  1.00    ,  0.04  
CaO     ,  3.80    ,  0.04  
TiO2    ,  1.00    ,  0.03  
Cr2O3   ,  0.28    ,  0.01  
MnO     ,  0.20    ,  0.01  
FeO     , 15.71    ,  0.20  
Ni      ,  0.0968  ,  0.0050
Zn      ,  0.1159  ,  0.0035
Br      ,  0.0101  ,  0.0005
